구분번호,대통령,글제목,연설일자,원문보기,연설장소
1310440,이승만,대통령 취임사(大統領就任辭) ,1948-07-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263997500039975011942.PDF,국내
1310441,이승만,"민족이 원하는 길을 따를 결심, 국무총리 인준 부결에 대하여 ",1948-07-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263997600039976011943.PDF,국내
1310442,이승만,미급점(未及點) 육성하라 ,1948-08-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263997700039977011944.PDF,국내
1310443,이승만,전민족에게 충고함 ,1948-08-12,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263997800039978011945.PDF,국내
1310445,이승만,함께 뭉쳐서 자강전진(自疆前進) 외모(外侮)막자 (해방 3주년 기념사) ,1948-08-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998000039980011947.PDF,국내
1310444,이승만,대한민국 정부수립과 우리의 각오 ,1948-08-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263997900039979011946.PDF,국내
1310446,이승만,정권 이양문제에 대하여 ,1948-09-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998100039981011948.PDF,국내
1310447,이승만,북한정권(北韓政權)에 대하여 ,1948-09-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998200039982011949.PDF,국내
1310448,이승만,미소(美蘇) 양군 철퇴문제에 대하여 ,1948-09-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998300039983011950.PDF,국내
1310449,이승만,"반민자(反民者) 처단(處斷)은 민의(民意), 법운영은 보복보다 개과천선(改過遷善)토록 하라 ",1948-09-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998400039984011951.PDF,국내
1310450,이승만,미곡 수집에 대하여 ,1948-09-30,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998500039985011952.PDF,국내
1310451,이승만,맥 원수(元帥) 한국(韓國) 보위(保衛)에 언급 ,1948-10-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998600039986011953.PDF,국내
1310452,이승만,한글날을 맞이하여,1948-10-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998700039987011954.PDF,국내
1310453,이승만,미국민(美國民)과 이해증진을 희망함 ,1948-10-21,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998800039988011955.PDF,국내
1310454,이승만,한일통상에 대하여 ,1948-10-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263998900039989011956.PDF,국내
1310455,이승만,반도(叛徒)는 진퇴유곡(進退維谷) 후환(後患) 방어책에 전력하라,1948-10-24,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999000039990011957.PDF,국내
1310456,이승만,적자(賊子)의 선동을 경계하고 충의로 치안유지에 협력하라 ,1948-10-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999100039991011958.PDF,국내
1310457,이승만,불순배(不純輩)를 철저히 제거 반역사상방지법령 준비 ,1948-11-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999200039992011959.PDF,국내
1310458,이승만,트루만 미국 대통령 당선에 대하여 ,1948-11-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999300039993011960.PDF,국내
1310459,이승만,안전보장은 관민일치로 ,1948-11-07,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999400039994011961.PDF,국내
1310460,이승만,"공산분자의 반란 정부가 책임질 수 없다, 국회의 내각 개조요구는 유감 ",1948-11-09,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999500039995011962.PDF,국내
1310461,이승만,양곡 매상 불여의(不如意) 시(時)는 특별 조처(措處)를 강구 ,1948-11-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999600039996011963.PDF,국내
1310462,이승만,국회와는 화해 ,1948-11-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999700039997011964.PDF,국내
1310463,이승만,건설적인 비평과 파괴적인 비평 ,1948-11-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999800039998011965.PDF,국내
1310464,이승만,미곡 수집에 협력하라 ,1948-11-23,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911263999900039999011966.PDF,국내
1310465,이승만,청년들은 궐기하여 반역분자 타도하라 ,1948-11-29,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264000000040000011967.PDF,국내
1310466,이승만,정부를 옹호하자 ,1948-11-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264000100040001011968.PDF,국내
1310467,이승만,UN총회의 한국문제 토의 연기는 부당 ,1948-12-04,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264000200040002011969.PDF,국내
