구분번호,대통령,글제목,연설일자,원문보기,연설장소
1305377,박정희,제45회 3·1절 경축사,1964-03-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138400041384013351.PDF,국내
1305426,박정희,제19회 식목일 치사,1964-04-05,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143300041433013400.PDF,국내
1305382,박정희,4·19의거 제4주년 기념식 기념사,1964-04-19,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138900041389013356.PDF,국내
1305384,박정희,5·16혁명 제3주년 기념 메시지,1964-05-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139100041391013358.PDF,국내
1305388,박정희,6·25 제14주년 기념사,1964-06-25,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139500041395013362.PDF,국내
1305390,박정희,제헌절 제16주년 기념사,1964-07-17,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139700041397013364.PDF,국내
1305394,박정희,8·15 제19주년 경축사,1964-08-15,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140100041401013368.PDF,국내
1305397,박정희,개천절 경축식 경축사,1964-10-03,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140400041404013371.PDF,국내
1305486,박정희,제45회 전국체육대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149300041493013460.PDF,국내
1305487,박정희,언론윤리위원회법 시행 특별담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149400041494013461.PDF,국내
1305450,박정희,육군사관학교 졸업식 유시,1964-01-01,,국내
1305386,박정희,비상계엄령 선포에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139300041393013360.PDF,국내
1305470,박정희,제1회 법의 날 기념사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147700041477013444.PDF,국내
1305459,박정희,크리스마스 메시지,1964-01-01,,국내
1305461,박정희,제2회 박정희장군배 쟁탈 동남아 여자농구대회에의 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146800041468013435.PDF,국내
1305432,박정희,군장비지원 낙동강유역 개간공사 기공식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143900041439013406.PDF,국내
1305431,박정희,제1회 중소기업자대상 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143800041438013405.PDF,국내
1305469,박정희,충무공 이순신장군 제419회 탄신일 기념사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147600041476013443.PDF,국내
1305497,박정희,제12회 학생의 날 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150400041504013471.PDF,국내
1305499,박정희,대한교육연합회 제21회 전국대의원대회 및 교육공로자 표창식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150600041506013473.PDF,국내
1305391,박정희,피압박민족 해방운동주간 제5주년에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139800041398013365.PDF,국내
1305416,박정희,[방독]이독성명,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264142300041423013390.PDF,국제
1305381,박정희,「맥아더」장군(將軍) 추도식(追悼式) 추도사(追悼辭),1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138800041388013355.PDF,국내
1305472,박정희,라디오 서울 개국 기념 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147900041479013446.PDF,국내
1305453,박정희,계엄부대 표창에 즈음한 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146000041460013427.PDF,국내
1305480,박정희,일성 이준선생 동상 제막식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148700041487013454.PDF,국내
1305467,박정희,부산 문화방송국 개국 5주년 기념 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147400041474013441.PDF,국내
1305494,박정희,대한적십자사 창립 15주년 기념 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150100041501013468.PDF,국내
1305427,박정희,쌍용양회공장 시무식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143400041434013401.PDF,국내
1305466,박정희,제8회 신문의 날에 즈음한 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147300041473013440.PDF,국내
1305481,박정희,제9회 학술원·예술원상 시상식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148800041488013455.PDF,국내
1305489,박정희,대전문화방송국 개국 기념 축사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149600041496013463.PDF,국내
1305436,박정희,창립 3주년을 맞는 농협을 위한 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144300041443013410.PDF,국내
1305434,박정희,한일시멘트공장 준공식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264144100041441013408.PDF,국내
1305464,박정희,8의사 창의탑 건립 기념식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147100041471013438.PDF,국내
